"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Nov 10 00:49:39 EST 2023","Fri Nov 10 00:49:42 EST 2023","2875","All Test Suite","C:/Users/Julia/IdeaProjects/RestAssured_TestNg","automation.apitesting.tests.BookingApiRequestTests","automation.apitesting.tests.BookingApiRequestTests","getAllBookings","Get all bookings from db",""
"passed","Fri Nov 10 00:49:44 EST 2023","Fri Nov 10 00:49:44 EST 2023","393","All Test Suite","C:/Users/Julia/IdeaProjects/RestAssured_TestNg","automation.apitesting.tests.BookingApiRequestTests","automation.apitesting.tests.BookingApiRequestTests","createBookingFromFile","Create booking form json saved in txt file",""
"passed","Fri Nov 10 00:49:44 EST 2023","Fri Nov 10 00:49:46 EST 2023","1322","All Test Suite","C:/Users/Julia/IdeaProjects/RestAssured_TestNg","automation.apitesting.tests.BookingApiRequestTests","automation.apitesting.tests.BookingApiRequestTests","getBookingByIdAndValidateOverJsonSchema","Get booking by id of the created booking",""
"passed","Fri Nov 10 00:49:42 EST 2023","Fri Nov 10 00:49:44 EST 2023","2011","All Test Suite","C:/Users/Julia/IdeaProjects/RestAssured_TestNg","automation.apitesting.tests.BookingApiRequestTests","automation.apitesting.tests.BookingApiRequestTests","createBooking","Create booking from the booking model"
